2014,scso,,AOA,,GWO,,COA,,SHO,,ChOA,,PDO,,FOX,,FOX_LEVY,
F1 - F30,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,MEAN,STD,mean,std,mean,std
F1,7.17E+06,5.20E+06,1.80E+07,1.05E+07,6.36E+06,6.00E+06,1.04E+08,4.99E+07,8.69E+06,4.76E+06,1.29E+07,1.65E+06,70241547.14,37255064.08,1.02E+05,7.96E+04,2.27E+05,1.58E+05
F2,8.79E+07,2.51E+08,3.72E+09,1.14E+09,1.33E+06,9.38E+06,4.99E+09,1.99E+09,5.18E+08,5.69E+08,2.37E+09,1.24E+09,3413182438,1540852655,853.2552,1.43E+03,4.73E+05,1.30E+05
F3,4.66E+03,3.23E+03,1.85E+04,6.15E+03,5.65E+03,4.18E+03,1.19E+04,2.46E+03,3.80E+03,2.61E+03,1.90E+04,6.86E+03,12789.2239,5694.930694,1.72E+04,1.16E+04,2.71E+03,2.08E+03
F4,434.0312,20.5594,966.8375,466.2274,433.8592,9.4034,1.98E+03,739.1375,457.2668,84.1805,566.3132,91.0255,944.1082037,356.4362751,428.047,15.056,428.028,13.2059
F5,520.0912,0.0767,520.078,0.0509,520.0735,2.1044,520.3763,0.0847,519.999,0.112,520.4265,0.0882,520.2025416,0.133175033,521.0001,6.08E-04,520.449,0.0899
F6,605.2975,1.4964,609.3803,0.9959,602.144,1.1518,609.931,0.8415,605.8176,1.3391,607.4035,0.8773,609.0868697,1.108201743,610.6924,1.1207,608.3632,1.5972
F7,702.268,3.035,788.1635,33.6807,701.1226,0.8995,795.1201,33.2359,714.375,17.9949,769.0491,43.1267,770.9342168,29.60311065,701.2022,1.1218,700.6985,0.1037
F8,831.8392,9.7706,831.1064,9.9607,812.0194,5.7264,868.3296,8.3519,811.5267,9.83,839.792,7.3828,862.9326484,13.65108451,851.0082,16.9594,851.7198,14.2234
F9,936.6432,11.7155,937.3741,9.2069,912.3795,5.8472,962.8663,9.5738,929.3833,8.74,937.9902,6.8449,955.5079334,9.75181422,947.8542,9.3604,945.597,11.8255
F10,1.68E+03,238.9848,1.65E+03,189.2099,1.36E+03,188.9595,2.33E+03,225.938,1.31E+03,165.2564,1.95E+03,273.9185,2160.688864,267.731371,2.28E+03,256.953,2.24E+03,243.5462
F11,1.92E+03,273.8188,1.93E+03,285.9065,1.54E+03,248.6129,2.78E+03,217.1963,1.69E+03,195.8914,2.37E+03,184.1335,2388.2141,217.7272684,2.53E+03,303.1193,2.41E+03,329.2883
F12,1.20E+03,0.2155,1.20E+03,0.2115,1.20E+03,0.6031,1.20E+03,0.3171,1.20E+03,0.1377,1.20E+03,0.248,1200.922359,0.30298676,1.20E+03,0.3074,1.20E+03,0.1734
F13,1.30E+03,0.1381,1.30E+03,0.8754,1.30E+03,0.0662,1.30E+03,0.6878,1.30E+03,0.279,1.30E+03,0.8904,1302.190912,1.01535725,1.30E+03,0.2176,1.30E+03,0.2004
F14,1.40E+03,0.2299,1.42E+03,7.0845,1.40E+03,0.2043,1.42E+03,7.1087,1.40E+03,2.3409,1.41E+03,7.5398,1410.950559,6.016738907,1.40E+03,0.1061,1.40E+03,0.0982
F15,1.50E+03,1.2203,1.75E+03,357.3913,1.50E+03,0.7819,3.89E+03,3.17E+03,1.51E+03,36.9216,2.01E+03,569.752,2399.262024,1380.199919,1.51E+03,3.0238,1.50E+03,0.8711
F16,1.60E+03,0.3911,1.60E+03,0.2804,1.60E+03,0.5282,1.60E+03,0.2004,1.60E+03,0.3471,1.60E+03,0.1982,1603.667382,0.283861393,1.60E+03,0.2647,1.60E+03,0.3178
F17,1.35E+04,5.38E+04,1.21E+05,8.90E+04,2.75E+04,8.20E+04,3.75E+05,2.25E+05,1.14E+05,1.79E+05,1.75E+05,2.62E+05,293658.5874,225646.7994,3.65E+03,1.87E+03,4.80E+03,2.74E+03
F18,1.12E+04,7.54E+03,1.40E+04,1.10E+04,9.07E+03,6.95E+03,1.23E+04,7.77E+03,1.16E+04,2.88E+03,9.27E+03,5.52E+03,9825.034396,7061.985664,8.95E+03,4.92E+03,8.92E+03,5.88E+03
F19,1.90E+03,0.9852,1.93E+03,23.5114,1.90E+03,7.75E-01,1.92E+03,17.0693,1.90E+03,1.2435,1.90E+03,0.5,1910.191188,5.772702689,1.91E+03,4.0345,1.90E+03,1.6727
F20,5.59E+03,2.65E+03,7.08E+03,3.20E+03,6.03E+03,4.05E+03,7.06E+03,5.06E+03,7.31E+03,2.70E+03,1.15E+04,3.27E+03,24768.81915,43694.19023,7.83E+03,6.11E+03,4.74E+03,3.16E+03
F21,8.33E+03,4.25E+03,6.79E+03,2.51E+03,7.29E+03,4.06E+03,1.41E+04,3.34E+04,8.42E+03,2.92E+03,1.36E+04,5.98E+03,207419.8275,345133.3807,8.32E+03,4.72E+03,5.73E+03,2.93E+03
F22,2.30E+03,68.0307,2.39E+03,98.356,2.29E+03,56.0896,2.39E+03,80.0757,2.29E+03,64.7722,2.39E+03,28.964,2382.097142,91.02572509,2.59E+03,204.2591,2.40E+03,129.2461
F23,2500,0,2500,0,2.63E+03,4.0344,2500,0,2.62E+03,37.3351,2.65E+03,5.2833,2500,0,2500,0,2500,0
F24,2.59E+03,18.2364,2.59E+03,22.1818,2.53E+03,25.6586,2.60E+03,7.5309,2.56E+03,30.1571,2.55E+03,9.8255,2590.495929,15.19214343,2600,0,2.60E+03,15.1379
F25,2.70E+03,1.3188,2.70E+03,3.5123,2.69E+03,17.8735,2.70E+03,5.5747,2.70E+03,2.6691,2.70E+03,0.3796,2698.314268,6.570402979,2700,0,2.70E+03,5.2853
F26,2.70E+03,0.1153,2.70E+03,13.8024,2.70E+03,0.0449,2.71E+03,18.9896,2.70E+03,0.4115,2.71E+03,32.8703,2704.096225,13.8795858,2.71E+03,27.3026,2.70E+03,0.2213
F27,2.88E+03,52.7531,2.90E+03,26.2259,3.01E+03,121.5368,2900,0,3.06E+03,124.7313,3.29E+03,52.8035,3095.262863,123.126187,2900,26.7252,2900,0
F28,3000,0,3000,0,3.25E+03,85.6705,3000,0,3.37E+03,100.7482,3.53E+03,72.5607,3260.070151,47.98508085,3000,0,3000,0
F29,4.51E+04,2.89E+05,2.98E+04,1.69E+05,1.54E+05,5.18E+05,3.12E+03,32.4682,1.82E+05,6.24E+05,1.96E+06,2.35E+06,40144.4642,101830.5281,6.79E+04,4.56E+05,4.63E+04,3.03E+05
F30,4.68E+03,791.4956,1.50E+04,2.17E+04,4.05E+03,413.2891,7.41E+03,4.55E+03,4.99E+03,356.3908,4.47E+03,309.2923,9753.468502,5837.839181,5.07E+03,860.1448,4.72E+03,609.1622
